ITEM,HS CODE,GOODS DESCRIPTION 
1,01012900,"Live horses,nes"
2,01022110,Pure-Bred Breeding bulls
3,01022190,Other pure-bred breeding cattle
4,01022900,Other Live Cattle
5,01029000,"Other Live Bovine Animals,nes"
6,01031000,Live Pure-bred Swine
7,01039100,"Other Live Swine, weighing <50kg"
8,01039200,"Other Live Swine, weighing >=50kg"
9,01051100,"Live fowls of species gallus domesticus, weighing =<185g (chicks)"
10,01051300,Live ducks weighing  =< 185g
11,01061900,Other live mammals
12,01063900,Other birds
13,02012000,Fresh or chilled boned bovine meat (Excl. carcasses)
14,02022000,Frozen boned bovine meat (excl. carcasses)
15,02023000,Frozen boneless bovine meat
16,02031200,"Fresh or chilled boned hams, shoulders and cuts thereof of swine"
17,02031900,"Fresh or chilled swine meat, nes (unboned)"
18,02032200,"Frozen boned hams, shoulders and cuts thereof of swine"
19,02032900,"Frozen swine meat, nes"
20,02043000,Frozen lamb carcasses and half carcasses
21,02069000,"Frozen edible offal of sheep, goats, horses..."
22,02071300,Fresh or chilled cuts and offal of chickens
23,02071410,"Mechanically deboned fowl cuts and offal, frozen"
24,02071490,"Other fowl cuts and offal, frozen"
25,02072500,Frozen whole turkeys
26,02072700,Frozen cuts and offal of turkeys
27,02074400,Other fresh or chilled duck meat nes
28,02076000,Fresh chilled or frozen guinea fowl meat
29,02085000,"Fresh,chilled or frozen meat & edible meat offal of reptiles(inc snakes & turtles)"
30,02089000,"Fresh, chilled or frozen meat and edible offal, nes"
31,02101100,"Boned swine hams, shoulders and cuts thereof, salted... or smoked"
32,02101200,"Bellies and cuts thereof of swine, salted... or smoked"
33,02101900,"Meat of swine, salted... or smoked, nes"
34,02102000,"Meat of bovine animals, salted... or smoked"
35,02109900,"Other meat & edible meat offal,salted,in brine,dried or smoked, edible flours nes"
36,03011900,Other Live ornamental fish
37,03019990,"Other live fish, fresh water"
38,03021190,"Fresh or chilled trout, fresh water"
39,03021910,"Fresh or chilled salmonidae ,salt water....nes"
40,03022990,"Fresh or chilled flat fish (excl. halibut, plaice,sole& turbots), fresh water"
41,03024300,Fresh or chilled Sardines
42,03028910,"Fresh or chilled Fish, of salt water,nes"
43,03031100,Sockeye salmon(red salmon)(oncorhynchus nerka)
44,03031200,Other Frozen Pacific Salmon
45,03031310,Frozen atlantic salmon and Danude salmon fish of salt water
46,03031910,Frozen Salt water fish nes
47,03031990,Frozen fresh water fish nes
48,03032300,Frozen Tilapia
49,03033910,"Frozen flat fish (excl. halibut, plaice & sole), salt water"
50,03035310,Frozen salt water Sardines
51,03035400,Frozen mackrel
52,03035500,Frozen Jack and horse mackrel
53,03036600,Frozen Hake
54,03036910,Frozen salt water fish nes
55,03036990,Frozen fresh water fish nes
56,03038910,Frozen salt water fish nes
57,03038990,Frozen fresh water fish nes
58,03039010,Frozen salt water fish livers and roes
59,03039090,Frozen fresh water fish livers and roes
60,03043100,Fresh or Chilled Tilapia Fillets
61,03043900,Fresh or Chilled  Fillets nes
62,03044900,Fresh or Chilled Fillets nes
63,03045900,Other fresh or chilled fish meats
64,03046100,Frozen fillets of Tilapias (Oreochromis spp.)
65,03047200,Frozen fillets of haddock
66,03047400,Frozen fillets of hake
67,03047900,"Frozen fillets of families bregmaceroidae...gadidae....muraenolepididae,nes"
68,03048100,"Frozen fillet of Pacific,atlantic and danude salmon"
69,03048700,"Frozen fillets of tunas,exc livers and roes"
70,03048900,"Frozen fillets of other fish,nes"
71,03049900,"Other frozen fish meats,nes"
72,03051090,"Fish meal/flour/pellets fit for human consumption, fresh water"
73,03053990,"Fish fillets,dried,salted or in brine,not smoked of fish of fresh water,nes"
74,03054110,"Smoked Pacific or Atlantic salmon (incl. fillets), salt water"
75,03055910,"Dried fish, not smoked (excl. cod), salt water"
76,03055990,"Dried fish, not smoked (excl. cod), fresh water"
77,03056990,"Other fish, salted or in brine, not dried or smoked, nes, fresh water"
78,03061700,"Other frozen shrimps and prawns,nes"
79,03061990,"Other frozen crustaceans, nes, fresh water"
80,03062411,"Live crabs, salt water"
81,03062711,"Other Live shrimps and prawns,of salt water"
82,03071911,Potted Salt water oysters nes
83,03073192,"Mussels,fresh or chilled, of salt water, not potted or tinned"
